flipped,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
True,2012,ILLINOIS,IL,17,33,21,US HOUSE,17,gen,,False,CHERI BUSTOS,DEMOCRAT,False,TOTAL,153519,288161,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,18,gen,,False,AARON SCHOCK,REPUBLICAN,False,TOTAL,244467,329631,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,1,gen,,False,PETER J. VISCLOSKY,DEMOCRAT,False,TOTAL,187743,279034,False,20201202,False
True,2012,INDIANA,IN,18,32,22,US HOUSE,2,gen,,False,JACKIE WALORSKI,REPUBLICAN,False,TOTAL,134033,273475,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,3,gen,,False,MARLIN A. STUTZMAN,REPUBLICAN,False,TOTAL,187872,280235,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,4,gen,,False,TODD ROKITA,REPUBLICAN,False,TOTAL,168688,272268,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,5,gen,,False,SUSAN BROOKS,REPUBLICAN,False,TOTAL,194570,333359,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,6,gen,,False,LUKE MESSER,REPUBLICAN,False,TOTAL,162613,275253,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,7,gen,,False,ANDR_ CARSON,DEMOCRAT,False,TOTAL,162122,257950,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,8,gen,,False,LARRY BUCSHON,REPUBLICAN,False,TOTAL,151533,283992,False,20201202,False
False,2012,INDIANA,IN,18,32,22,US HOUSE,9,gen,,False,TODD C. YOUNG,REPUBLICAN,False,TOTAL,165332,298180,False,20201202,False
